,qid,docid,rating,bm25,passage_length,c,df,cf,idf,c_idf
44,576854,5434147,0,0.0,256,0,819162,1001317,7.714417034017837,0.0
45,12537,2715256,0,0.0,230,0,2418207,3111111,13.92738295630732,0.0
46,688751,8635973,0,0.0,605,0,667839,828059,7.949078473721489,0.0
47,727164,5284266,0,0.0,412,0,1064919,1328959,8.846941381926444,0.0
48,191173,7983554,0,0.0,310,0,115092,134966,11.060571365045504,0.0
49,521450,1603912,0,0.0,227,0,818902,1113532,9.28401812281209,0.0
50,68734,2152911,0,0.0,245,0,2369560,3617241,6.8181953956645405,0.0
51,112284,1011100,0,0.0,298,0,714953,1121257,25.51209551868081,0.0
52,830308,2748780,0,0.0,272,0,645197,810368,10.42447564806265,0.0
53,126161,2154979,0,0.0,232,0,117249,139469,13.106407967217717,0.0
54,116902,4357833,0,2.634182929992676,168,1,104682,123635,8.849934795547615,13.27546319512259
55,740305,8837905,0,0.0,478,0,543629,664866,5.451779934537959,0.0
56,985295,7054916,0,0.0,312,0,364667,437803,9.805534975584793,0.0
57,995777,7901336,0,0.0,314,0,305709,352800,9.98864029062685,0.0
58,1162108,5769497,0,0.0,341,0,1149259,1388193,11.407241395997495,0.0
59,127229,2709730,0,0.0,687,0,234817,301213,11.810452882814579,0.0
60,1050981,6974074,0,0.0,219,0,703686,866932,10.77661099718744,0.0
61,159740,2401984,0,0.0,500,0,2571197,3541179,10.731825124766198,0.0
62,120939,3223128,0,0.0,298,0,150876,189966,12.850544809008657,0.0
63,515248,5365594,0,0.0,377,0,255086,323549,7.233873431958422,0.0
64,460319,2619940,0,0.0,494,0,1168393,1521436,16.67977471266292,0.0
65,825970,6331227,0,0.0,207,0,822555,1103716,10.128267226204645,0.0
66,170480,6185955,0,0.0,330,0,310361,368884,17.1182525251168,0.0
67,674824,6965055,0,0.0,469,0,544390,666301,5.450289352064296,0.0
68,545301,3892041,0,0.0,262,0,92358,157050,9.123814354242207,0.0
69,265638,2451591,0,0.0,287,0,1278049,1610759,10.298278798305997,0.0
70,252327,2335062,0,0.0,287,0,4224545,5453551,13.187996442490068,0.0
71,61723,2860024,0,0.0,289,0,3071036,4600927,6.042846532713911,0.0
72,758226,5885161,0,0.0,264,0,549042,672775,5.441219507775186,0.0
73,316927,8239120,0,0.0,238,0,1426370,1974209,13.601654880026485,0.0
74,626910,1960143,0,0.0,264,0,3092241,5225471,7.426092176443442,0.0
75,722063,2329917,0,1.5480895042419434,251,1,571419,703370,8.071038235843613,16.196016032242596
76,1061001,7224229,0,0.0,312,0,565787,671398,17.63275567082414,0.0
77,78320,8021869,0,0.0,271,0,3739106,6312688,4.182946682944504,0.0
78,908016,6349408,0,0.0,107,0,886546,1124906,12.371642847038926,0.0
79,216471,5135303,0,0.0,96,0,1203473,1562947,10.290196615453949,0.0
80,797856,4053748,0,0.0,306,0,544745,666487,5.44959467393541,0.0
81,941656,3678284,0,1.5352916717529297,398,1,2421038,2952828,11.220623196530417,21.46590251116754
82,733436,274064,0,0.0,230,0,1326519,1801451,13.063215794953832,0.0
83,724189,5759876,0,1.5558900833129883,231,1,543313,664412,5.452399461635325,8.17865410482073
84,572178,7561573,0,0.0,495,0,1212357,1563264,11.35871086211733,0.0
85,297737,6317653,0,0.8527171611785889,546,1,2552290,3249520,9.476630954857738,25.68082722748936
86,35326,7781104,0,0.0,502,0,659330,1185489,13.574302750769423,0.0
87,1001178,4321946,0,0.0,315,0,889406,1277236,15.33251807290376,0.0
88,738427,8267723,0,0.0,306,0,618376,793799,8.04002127688083,0.0
89,488566,1305043,0,0.0,203,0,370438,467054,9.982682851659398,0.0
90,611923,8801913,0,0.0,436,0,730865,981609,10.00636238125179,0.0
91,765034,3038246,0,0.0,231,0,543327,664457,5.452372007104374,0.0
92,772249,2614403,0,0.0,499,0,543543,664670,5.451948506675983,0.0
93,1184906,2942319,0,0.0,252,0,213720,256365,14.831137654830144,0.0
94,1029087,1992297,0,0.0,303,0,511890,628418,11.268391292380748,0.0
95,458673,4736275,0,0.0,303,0,1071491,1304350,14.700568430032257,0.0
96,17995,4051145,0,0.0,287,0,101015,154527,25.460292706635514,0.0
97,628523,6411953,0,0.0,609,0,1576121,1954991,12.990949210602261,0.0
98,733608,6997117,0,0.0,244,0,904895,1187013,11.944063485750718,0.0
99,537211,4286056,0,0.0,424,0,405214,580658,9.41472263213924,0.0
100,330321,7181283,0,0.0,136,0,1580589,2202348,12.021062935675117,0.0
101,993315,1378673,0,0.0,319,0,314256,364987,9.960179499483703,0.0
102,674544,6018373,0,0.0,531,0,543267,664383,5.452489674034984,0.0
103,1047423,7366521,0,0.0,216,0,816799,1015291,15.023635324034409,0.0
104,179952,4941558,0,0.0,278,0,96932,148511,21.430742755013643,0.0
105,66723,4581446,0,0.851571798324585,470,1,1619640,2234420,6.031777120836347,15.105529825167325
106,127898,8581266,0,0.0,296,0,287486,488034,14.801889065815418,0.0
107,912956,7425330,0,0.0,313,0,1036825,1365196,8.879853198381717,0.0
108,476293,90352,0,0.0,271,0,523377,635062,15.640007143509965,0.0
109,575477,5898697,0,0.0,480,0,2361035,3228731,5.9576572965085735,0.0
110,994201,5250524,0,0.0,275,0,355174,437952,9.833007221014553,0.0
111,719234,8154597,0,0.0,243,0,881781,1154769,12.371587854694857,0.0
112,795599,3590620,0,0.0,502,0,670315,834331,7.739494983485259,0.0
113,33435,5519819,0,1.3327274322509766,289,1,2023034,3044134,14.06531347585906,14.06531347585906
114,978609,8759843,0,0.0,305,0,305624,352656,6.659441436784367,0.0
115,461286,1731287,0,0.0,269,0,782732,1330142,8.470498117096719,0.0
116,1005487,1210983,0,0.0,277,0,1161592,1437099,7.7940736120331255,0.0
117,243685,6497838,0,0.0,330,0,993494,1321383,11.24387574435291,0.0
118,956934,3637313,0,0.0,588,0,956633,1154116,8.872306846681989,0.0
119,1178728,2732882,0,0.0,244,0,1153433,1412517,8.533008100018009,0.0
120,975388,2432375,0,0.0,198,0,2120820,3650886,13.076595518230365,0.0
121,380556,1782653,0,0.0,190,0,1011956,1349350,11.914826875968705,0.0
122,746485,4408380,0,0.0,310,0,659027,834283,10.55977521772083,0.0
123,1016114,4000471,0,0.0,227,0,3251765,4395923,11.76528514285612,0.0
124,27681,3780392,0,0.0,610,0,1384735,1854041,18.27308043806295,0.0
125,1160416,1090193,0,0.0,287,0,1265144,1624054,13.56322122437728,0.0
126,961697,6888207,0,0.0,481,0,913379,1099383,8.89417396725877,0.0
127,74144,4335958,0,0.0,255,0,2610058,3753440,6.342108871040371,0.0
128,240921,5555120,0,2.286355495452881,516,2,5716977,8605804,7.446811262328242,75.49750444951027
129,133595,6882530,0,0.0,406,0,392715,468664,10.488720958789763,0.0
130,922568,8328972,0,0.0,277,0,755355,940018,15.790023880268606,0.0
131,1161089,470883,0,0.0,275,0,1090445,1324398,11.115588268710862,0.0
132,36566,3771904,0,0.0,277,0,582269,1004030,12.14269772176267,0.0
133,439538,196753,0,0.0,658,0,761219,1027913,20.746744792567213,0.0
134,572259,3876710,0,0.0,339,0,876963,1235408,10.341824739425212,0.0
135,1180718,1790964,0,0.0,443,0,209750,250466,16.087979866575214,0.0
136,16301,1637862,0,0.0,141,0,660210,1008770,21.70216528513557,0.0
137,928493,4230880,0,0.0,188,0,1336183,1810594,7.950113754139666,0.0
138,835844,33533,0,0.0,258,0,1531088,2283880,10.394440300643152,0.0
139,896476,1155480,0,0.0,243,0,1019647,1284500,16.179134431917323,0.0
140,858374,2657770,0,0.0,283,0,554554,677607,5.430565375615982,0.0
141,447455,2693749,0,1.3790602684020996,544,1,391073,562601,6.148476979809174,9.223838948502106
142,1070965,2701895,0,0.0,201,0,626375,920482,17.28205827062741,0.0
143,834468,3713617,0,0.0,603,0,1026338,1551393,13.253574415421069,0.0
144,616746,6354564,0,0.0,306,0,1623388,2336004,10.096655903204637,0.0
145,1175720,6790977,0,0.0,527,0,429265,558587,14.895008122007752,0.0
146,107497,7765582,0,0.0,299,0,793879,1417428,17.277938953716465,0.0
147,289662,2372663,0,0.0,169,0,1085235,1351313,10.701765036591537,0.0
148,1141245,8441343,0,0.0,292,0,321380,372693,9.885065365596057,0.0
149,169645,1284243,0,0.0,570,0,644090,917208,21.98252924874265,0.0
150,128824,6787471,0,0.0,266,0,143434,171298,12.7427825100178,0.0
151,654177,8745527,0,0.0,241,0,1221072,1562656,13.695121743168068,0.0
152,1048000,426054,0,0.0,318,0,720176,892931,12.865140231863432,0.0
153,1034051,890141,0,0.0,302,0,512675,623890,8.43644821851312,0.0
154,528156,7636713,0,0.0,714,0,411974,554332,9.066621523124981,0.0
155,404546,2033330,0,0.0,319,0,276601,334885,21.727905602524604,0.0
156,130046,1105612,0,0.0,303,0,209756,250470,7.434793987050527,0.0
157,173425,5883594,0,0.0,244,0,318584,386349,20.253024839928305,0.0
158,1078919,4424835,0,0.0,280,0,289499,396773,14.998451046423945,0.0
159,946672,2505694,0,0.0,306,0,1393265,1714965,9.599352444887856,0.0
160,559540,5248504,0,0.0,243,0,1093373,1395419,11.174486061692269,0.0
161,526762,3826411,0,0.0,254,0,473415,646061,8.898483457407998,0.0
162,650479,6411487,0,0.0,160,0,1198964,1597185,13.291406413715164,0.0
163,703118,4021703,0,0.0,294,0,2763969,3609625,9.12697527626821,0.0
164,642343,621624,0,1.4977710247039795,280,1,1383823,1693291,11.233207061669209,11.233207061669209
165,308184,3645714,0,0.0,235,0,5139261,7864064,6.319944493853295,0.0
166,211778,6227676,0,0.0,424,0,655658,847221,10.345847365342895,0.0
167,487516,3832162,0,0.0,135,0,210010,250794,14.015608247299642,0.0
168,633289,7850726,0,0.0,277,0,1468972,2042958,10.304862656267108,0.0
169,87674,2657293,0,0.0,292,0,611575,840957,31.96628335193459,0.0
170,719280,7400678,0,0.0,333,0,543448,664680,5.452134749060445,0.0
171,650233,3895004,0,1.517653465270996,252,1,1253476,1620219,15.808589102286332,66.21320163899699
172,314711,4022429,0,0.0,406,0,2020686,2796567,14.31661627764167,0.0
173,804586,6183203,0,0.0,321,0,678590,852661,12.840579683150391,0.0
174,56261,5241555,0,1.6976368427276611,253,1,390340,561464,14.401924549858688,14.401924549858688
175,744867,87605,0,1.5251495838165283,221,1,548481,670504,5.442309455878841,8.168564099064247
176,836099,6706979,0,0.0,551,0,584548,723230,8.093794627682167,0.0
177,292569,6761401,0,0.0,155,0,1479353,1826319,9.563968016967298,0.0
178,127344,4272489,0,0.0,717,0,376389,555327,14.817586016385818,0.0
179,1074105,3093559,0,0.0,315,0,484396,583297,21.179943828735787,0.0
180,1044871,7367592,0,0.0,257,0,1038534,1339017,12.269130633857257,0.0
181,39069,2589378,0,0.0,388,0,375397,609017,12.735799820005573,0.0
182,420787,1054453,0,0.0,239,0,494020,697954,6.161091220366785,0.0
183,184051,1096341,0,0.0,456,0,673571,819395,19.368954387929307,0.0
184,843012,6543128,0,0.0,611,0,557613,685797,10.868760942046045,0.0
185,474341,7225524,0,0.0,464,0,252043,305430,16.806270161978684,0.0
186,953048,7400475,0,0.0,167,0,979939,1199994,10.936404134502252,0.0
187,1011895,5049791,0,1.1745033264160156,269,1,1038239,1277968,6.116558635092678,12.288203666041536
188,982877,6886539,0,0.0,443,0,375823,450338,9.711518350755743,0.0
189,825642,4711486,0,0.0,348,0,546413,668625,8.171426572289278,0.0
190,793632,7424606,0,0.0,253,0,906812,1179327,12.18404221952651,0.0
191,871911,2495662,0,0.0,190,0,793752,1001508,12.406138026547477,0.0
192,681764,4219931,0,0.0,425,0,687207,946786,7.925206811673832,0.0
193,769376,1442363,0,0.0,118,0,620836,756615,8.034906935025111,0.0
194,581380,8440936,0,0.0,148,0,2264874,3089044,7.152185345684689,0.0
195,642942,7211219,0,0.0,295,0,1211177,1552780,11.022082043343756,0.0
196,632024,7404900,0,0.0,375,0,1429886,1757346,13.360313649114868,0.0
197,1013118,7783570,0,2.6772632598876953,256,2,1462585,1958660,9.426288874310341,46.44010876540069
198,477667,8643933,0,0.0,352,0,393292,508256,13.758513698915346,0.0
199,892149,2772882,0,0.0,173,0,1993717,2579562,8.64686336323947,0.0
200,394157,2366534,0,0.0,260,0,1737627,2211113,12.24469280131023,0.0
201,700425,5006577,0,0.0,482,0,553248,676474,8.159284427153487,0.0
202,590027,7614492,0,0.0,211,0,565941,697955,13.54284184302764,0.0
203,468072,1739290,0,0.0,278,0,20188,28377,26.5586530201735,0.0
204,977426,6901175,0,0.0,284,0,1038966,1405846,16.43769333184988,0.0
205,1023259,7116890,0,0.0,310,0,1583379,2055707,10.373755056083812,0.0
206,868394,4915085,0,0.0,251,0,1421091,1839442,12.515382988762795,0.0
207,762861,980114,0,0.0,489,0,1169562,1499001,11.958125911878648,0.0
208,519683,1144967,0,0.0,209,0,1763216,2226235,15.006734850940973,0.0
209,604452,4360734,0,0.0,267,0,743414,1005269,12.400308046379525,0.0
210,93695,8075323,0,0.0,246,0,30148,51021,11.384741596076612,0.0
211,158957,53009,0,0.0,285,0,1760827,2213630,13.160773803357616,0.0
212,909599,2763787,0,0.0,630,0,846598,1048654,9.835508141187837,0.0
213,1010470,84655,0,0.0,342,0,1751577,2174952,17.069532381226317,0.0
214,760179,7395276,0,0.0,334,0,682915,856390,10.421639176499216,0.0
215,190840,267226,0,0.0,438,0,151230,314564,31.168691952140286,0.0
216,180629,6168442,0,0.0,316,0,157241,231980,12.57034046611038,0.0
217,631805,6892991,0,0.0,310,0,1263448,1550302,11.0104897807644,0.0
218,70001,2680978,0,0.0,284,0,3897469,5810745,4.232659785202249,0.0
219,550679,311181,0,0.0,316,0,1403867,1859831,11.999844184367378,0.0
220,711725,7988695,0,0.0,277,0,633020,769288,8.012602201654516,0.0
221,1076953,5992663,0,0.0,363,0,81119,104873,16.72389853826014,0.0
222,261113,4923722,0,1.6969714164733887,704,2,898826,1147019,11.572157684202761,71.60170020604497
223,1050373,5516554,0,0.0,190,0,3118582,5656531,15.306914387947376,0.0
224,38731,4867151,0,0.0,317,0,361271,591631,12.914845791028169,0.0
225,1049895,3174626,0,1.5142121315002441,298,1,1833213,2674835,10.572427519359703,19.80378601195121
226,426821,3084761,0,0.0,202,0,1035223,1326303,14.317382125468486,0.0
227,30882,3309764,0,0.0,419,0,1442922,2018468,14.647012459066168,0.0
228,700949,3580342,0,0.0,257,0,543287,664400,5.452450450375432,0.0
229,319287,1877291,0,1.544039011001587,184,1,1861149,2398112,15.45132676447717,76.73690324488706
230,1049073,8500019,0,0.0,304,0,970352,1219734,11.485059244355158,0.0
231,302939,6117488,0,0.0,331,0,2791591,3635485,11.203672990765172,0.0
232,738935,3807489,0,0.0,317,0,811186,1001783,7.363804152153959,0.0
233,275668,6863486,0,0.0,342,0,1332394,1677142,12.232668990412908,0.0
234,824596,4200960,0,0.0,481,0,967195,1360489,11.766982781761255,0.0
235,30203,6510237,0,0.0,267,0,2010333,2817786,17.196339220042628,0.0
236,634370,5156103,0,0.0,224,0,856314,1052487,11.747585653799977,0.0
237,830574,4112627,0,0.0,491,0,548614,673026,8.167742863723856,0.0
238,307586,3163231,0,0.0,126,0,1900699,2612639,15.580927903669222,0.0
239,386660,7897301,0,0.0,311,0,1013577,1282720,12.154366352539844,0.0
240,873954,4166183,0,1.8854238986968994,311,1,861926,1099646,11.95700373139406,34.14647183166202
241,104522,4663439,0,0.0,274,0,368447,685026,9.957078763729646,0.0
242,58307,7320449,0,0.0,300,0,483494,901035,18.898272832301114,0.0
243,856847,5033521,0,0.0,267,0,563062,689917,8.102901917250074,0.0
244,811190,4269955,0,0.0,843,0,676781,851388,7.911760451707164,0.0
245,913266,2021325,0,0.0,277,0,1071778,1370234,8.805769042336738,0.0
246,603808,8670981,0,0.0,345,0,756957,1013236,9.984417766426706,0.0
247,446947,2381676,0,0.0,217,0,390891,562105,6.148964010114318,0.0
248,192797,4813075,0,0.0,290,0,55107,72197,17.16531490979485,0.0
249,856765,8601132,0,0.0,369,0,741009,916561,7.5515848515391815,0.0
250,777651,7687992,0,0.0,161,0,742656,917062,10.032029618266478,0.0
251,155964,3460118,0,0.0,285,0,596908,747127,13.477224316506204,0.0
252,42103,290737,0,0.0,303,0,728300,1244056,11.420791129458888,0.0
253,656317,8056052,0,0.0,495,0,1068911,1317992,11.995810901984889,0.0
254,232318,796104,0,0.0,189,0,2508981,3310107,12.117995666149092,0.0
255,166459,6369364,0,0.0,234,0,473224,605891,16.122317428456782,0.0
256,470199,3679591,0,0.0,542,0,605531,1026357,8.937994427642439,0.0
257,426690,5770482,0,0.0,239,0,298000,423268,14.892433418247201,0.0
258,995202,665435,0,2.791942834854126,274,1,364789,430312,16.267017131017848,29.38823877449075
259,552626,4215149,0,0.0,487,0,839924,1128816,12.876771838818858,0.0
260,684764,4766524,0,0.0,250,0,543265,664360,5.4524935964751595,0.0
261,457604,4322754,0,0.0,548,0,1060901,1272380,8.980232323633905,0.0
262,612616,1321010,0,0.0,471,0,728158,977684,12.460584570732793,0.0
263,335596,221411,0,0.0,266,0,732281,934856,9.920330853978134,0.0
264,359998,589071,0,0.0,193,0,679311,878180,12.89645014193089,0.0
265,402569,1640719,0,0.0,312,0,177310,283737,20.4510573060471,0.0
266,882149,2426187,0,0.0,251,0,5338106,9294436,7.2423215805619074,0.0
267,1010677,1423852,0,0.0,493,0,2165346,2608426,10.04712344697167,0.0
268,122060,201801,0,0.0,211,0,104629,123544,8.850447282633766,0.0
269,291674,5752092,0,0.0,525,0,1408096,1705171,13.673217338435759,0.0
270,827428,8205087,0,0.0,311,0,1400137,1798434,13.402880445815462,0.0
271,502795,6983363,0,0.0,383,0,543001,747830,11.639249820393083,0.0
272,313887,1607183,0,0.0,799,0,1137645,1396416,10.766305739419298,0.0
273,801480,7897187,0,0.0,252,0,543309,664408,5.452407305908457,0.0
274,344455,4769384,0,0.0,503,0,785632,1083046,12.472830823782678,0.0
275,477955,2251144,0,0.0,326,0,132199,193488,12.63275771932691,0.0
276,857669,5019879,0,0.0,320,0,568742,699424,10.821133870174815,0.0
277,840346,305422,0,0.0,415,0,716711,906113,10.023360837877492,0.0
278,273172,355545,0,0.0,313,0,1035591,1296989,15.43545317653645,0.0
279,602523,1198196,0,0.0,498,0,709642,950730,10.054518581017303,0.0
280,559494,1732413,0,0.0,384,0,970121,1182782,9.356459831210495,0.0
281,730557,759199,0,0.0,261,0,543294,664395,5.452436722413385,0.0
282,722062,1484620,0,0.0,310,0,692551,949104,10.587350109842724,0.0
283,135666,2251461,0,0.0,431,0,209806,250564,7.434549851448997,0.0
284,61620,1959467,0,0.0,263,0,1996578,2815489,7.250450029827862,0.0
285,838160,6700482,0,0.0,667,0,764475,934429,12.201198907264555,0.0
286,259640,6557773,0,0.0,351,0,1535470,1906767,10.408855803753948,0.0
287,897132,2961244,0,0.0,361,0,1274292,1584582,12.939033504522323,0.0
288,256276,5154425,0,0.0,325,0,3533725,4615742,12.079532513881148,0.0
289,1035941,7768221,0,0.800668478012085,377,1,2519216,3318269,13.433745801159246,57.7687088086158
290,531282,1227764,0,0.0,265,0,971125,1641651,22.845177279692244,0.0
291,24942,3916960,0,0.0,195,0,520981,629386,15.892111183590249,0.0
292,634827,3234006,0,0.0,246,0,1273454,1638697,11.260720327995195,0.0
293,1051251,4094116,0,0.0,112,0,549753,669574,11.213326940381107,0.0
294,999279,1814307,0,0.0,377,0,305631,352670,6.659417713086304,0.0
295,68023,455484,0,0.0,221,0,1759972,2475209,7.4349140769419035,0.0
296,102163,7299612,0,0.0,315,0,332513,644845,9.996280440943547,0.0
297,862128,7165762,0,1.9350385665893555,265,2,1214670,1630288,9.069136135244984,48.767169546460764
298,810615,5613517,0,0.0,567,0,1189948,1576127,12.866811771086129,0.0
299,1162659,4793149,0,0.0,537,0,1328612,1615234,9.054199152704474,0.0
300,1048024,7257577,0,0.0,223,0,647266,801147,13.05693201944882,0.0
301,236149,1423561,0,0.0,311,0,1180237,1457315,15.476665824582478,0.0
302,665358,193208,0,0.0,373,0,621125,754190,10.48242533219212,0.0
303,751016,6207506,0,0.0,308,0,615424,768521,8.041615613656113,0.0
304,202829,2427364,0,0.0,289,0,528630,695100,15.219818990267175,0.0
305,82911,214742,0,0.0,413,0,639953,1030996,20.377957025835116,0.0
306,76268,7923608,0,0.0,277,0,3554644,6020067,3.1520284258972886,0.0
307,449950,2986073,0,0.0,321,0,795734,1347902,7.720863239168942,0.0
308,48637,969420,0,0.0,402,0,601109,922193,18.910758090584114,0.0
309,1056209,3293161,0,1.5194692611694336,320,1,1289585,1629889,8.604974266680642,20.3035758307754
310,976240,3625338,0,0.0,288,0,319535,371794,9.940187036200143,0.0
311,566209,6754200,0,0.0,475,0,798111,1078614,7.7437619464579335,0.0
312,136816,2305012,0,0.0,306,0,590436,846686,12.20210426740503,0.0
313,201733,971863,0,0.0,293,0,102193,226773,20.68931500838151,0.0
314,105283,8179784,0,0.0,328,0,539921,885168,11.6326884985128,0.0
315,682661,1767633,0,0.0,170,0,563124,690525,5.414195072551409,0.0
316,267610,8130179,0,0.0,251,0,3456384,5703908,8.390206283327277,0.0
317,790154,1960772,0,0.0,275,0,922952,1254750,7.600704502590862,0.0
318,10986,4731641,0,0.0,395,0,659672,812336,16.35503474344923,0.0
319,1157531,347732,0,0.0,529,0,982216,1265147,7.3727210266112,0.0
320,425402,5485508,0,0.0,291,0,233978,422757,21.53521117753764,0.0
321,551261,7620838,0,0.0,458,0,1590338,2075130,14.019949177210284,0.0
322,1144126,5697278,0,0.0,355,0,692160,856938,12.706335437641728,0.0
323,469404,3774269,0,0.0,278,0,343267,494090,20.415847389377276,0.0
324,446424,3600497,0,0.0,264,0,1325135,1719713,16.656508794205052,0.0
325,86579,211972,0,0.0,209,0,55864,64105,26.40748684489924,0.0
326,1051370,3830876,0,0.0,239,0,549822,679920,11.222761308699898,0.0
327,408884,8031692,0,0.0,216,0,61953,107673,17.449042570377745,0.0
328,829752,4791942,0,0.0,247,0,3965727,5322673,17.678826562653395,0.0
329,317166,8444541,0,0.0,514,0,1205703,1500857,12.546781076772062,0.0
330,639994,6709301,0,0.0,349,0,1690437,2320267,9.886410898918731,0.0
331,1082105,4562863,0,1.5362977981567383,317,1,1780189,2266333,26.457096147754555,96.59225355672801
332,642402,8109093,0,0.0,162,0,1322121,1694794,8.903233389850888,0.0
333,424685,6671482,0,0.0,277,0,152409,197597,28.307799541033148,0.0
334,589531,1350521,0,1.5961031913757324,200,1,777410,972726,12.829688613663485,39.503241456320545
335,436292,6386427,0,0.0,347,0,382642,478132,16.324869693758913,0.0
336,466025,6908897,0,0.0,268,0,233266,272705,12.048803331523885,0.0
337,489941,7563991,0,0.0,679,0,217746,262252,21.525016968033754,0.0
338,1060057,4696197,0,0.0,607,0,1409425,2117379,15.832504907130069,0.0
339,1080362,1375083,0,0.0,435,0,213158,254513,11.550598796079612,0.0
340,881642,7855463,0,0.0,297,0,739987,924663,10.132424666110532,0.0
341,720512,4465633,0,0.0,198,0,582792,714316,8.103021137056302,0.0
342,650883,4986595,0,0.0,152,0,1556197,2013889,14.743603437510405,0.0
343,263460,6672545,0,0.0,235,0,1190826,1526525,10.807172896595823,0.0
344,915886,4585802,0,2.546342372894287,267,2,2501654,3223301,8.624219431953698,46.96697125405505
345,607904,4267348,0,1.3635120391845703,512,1,722174,969358,10.035957431568917,25.549617732241593
346,35713,1743840,0,2.3439559936523438,360,1,968953,1416314,15.568686635762752,55.96947000365317
347,1055249,4703076,0,0.0,299,0,1649378,2008588,11.747603122033643,0.0
348,487223,811642,0,0.0,626,0,146925,229218,14.585144116655737,0.0
349,829933,3793812,0,0.0,313,0,828433,1052170,12.791661240148109,0.0
350,194328,8025994,0,0.0,247,0,276123,325966,14.460742439319183,0.0
351,417200,7387436,0,0.0,580,0,64632,96509,15.194082638207025,0.0
352,589954,7461470,0,0.0,336,0,715201,963202,10.400920000649267,0.0
353,91839,4244084,0,0.0,194,0,680967,846943,15.856925748626868,0.0
354,926129,8796227,0,0.0,580,0,1459666,1959841,12.710211041455457,0.0
355,1078622,290829,0,1.4814791679382324,273,1,1138400,1690856,16.286639281056154,51.71831621820317
356,950758,7725595,0,0.0,298,0,895275,1085872,6.631059698249921,0.0
357,640511,6740388,0,0.0,164,0,1240042,1605606,10.508044387152706,0.0
358,1144800,3537033,0,0.0,380,0,2105832,2880268,5.051793464846666,0.0
